StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q54_9,Q54_10,Q54_11,Q42,Q43,Q45,Q46,Q47,Q48,Q49,Q50,Q51
11/21/2018 20:15,11/21/2018 20:16,IP Address,107.242.117.10,100,40,TRUE,11/21/2018 20:16,R_3psg68mAxRCSrZw,,,,,37.75100708,-97.8219986,anonymous,EN,"I consent, begin the study",1.132,13.367,14.057,35,,,,,,,,,,,,Buy,Won't buy,Buy,Won't buy,Buy,Won't buy,Buy,Won't buy,Buy,Buy,Won't buy,2-3 times a week,Significantly less than half,18 - 25 years old,Other,Prefer not to answer,American Indian or Alaska Native,High school or equivalent,Employed part time (up to 39 hours a week),"$10,000 - $24,999"
11/15/2018 11:03,11/15/2018 11:05,IP Address,128.237.180.194,6,136,FALSE,11/22/2018 11:05,R_33CLA9uFOb9vyaj,,,,,,,anonymous,EN,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2018 11:00,11/15/2018 11:05,IP Address,128.237.180.194,50,270,FALSE,11/22/2018 11:05,R_1fZQrP1M3SVefQ9,,,,,,,anonymous,EN,"I consent, begin the study",55.689,68.363,70.125,11,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,,,,,,,,,,,,Daily,None,,,,,,,
11/23/2018 9:21,11/23/2018 9:24,IP Address,197.210.45.150,100,181,TRUE,11/23/2018 9:24,R_2zqew1Dd72EKARb,,,,,6.453094482,3.395797729,anonymous,EN,"I consent, begin the study",5.24,73.586,74.701,37,Won't buy,Buy,Buy,Won't buy,Buy,Buy,Buy,Won't buy,Won't buy,Buy,Won't buy,,,,,,,,,,,,Less often,Significantly less than half,36 - 45 years old,Male,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Self-employed,"$10,000 - $24,999"
11/23/2018 9:49,11/23/2018 9:52,IP Address,41.58.77.130,100,179,TRUE,11/23/2018 9:52,R_1gOTcXxNNTghJwF,,,,,6.453094482,3.395797729,anonymous,EN,"I consent, begin the study",7.253,54.68,55.902,41,Won't buy,Buy,Buy,Buy,Buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Buy,,,,,,,,,,,,2-3 times a month,None,26 - 35 years old,Male,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Self-employed,"$1 - $9,999"
11/23/2018 10:15,11/23/2018 10:20,IP Address,99.203.0.252,100,281,TRUE,11/23/2018 10:20,R_2tfAy5Ze72uiSxS,,,,,42.33760071,-83.13030243,anonymous,EN,"I consent, begin the study",4.099,37.688,38.68,38,Won't buy,Won't buy,Buy,Buy,Buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,2-3 times a month,Approximately half,26 - 35 years old,Male,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,"$50,000 - $74,999"
11/23/2018 13:47,11/23/2018 13:48,IP Address,71.60.32.220,100,47,TRUE,11/23/2018 13:48,R_126hIUAagAHiUht,,,,,40.43080139,-79.92050171,anonymous,EN,"I consent, begin the study",0.794,13.357,14.011,33,,,,,,,,,,,,Buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Less often,Significantly more than half,18 - 25 years old,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,"$1 - $9,999"
11/23/2018 14:01,11/23/2018 14:03,IP Address,81.108.92.196,100,104,TRUE,11/23/2018 14:03,R_11XTpnwtL8q8soJ,,,,,51.65530396,-0.395996094,anonymous,EN,"I consent, begin the study",4.132,34.504,35.501,33,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Once a month,Approximately half,46 - 55 years old,Female,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Self-employed,No income
11/23/2018 15:59,11/23/2018 16:01,IP Address,82.152.118.49,100,148,TRUE,11/23/2018 16:01,R_rr0XOUs1adz1sml,,,,,52.60650635,-1.658096313,anonymous,EN,"I consent, begin the study",1.437,18.474,20.502,7,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Less often,None,26 - 35 years old,Male,No,White or Caucasian,"Master's degree (e.g. MA, MS, MEd)",Employed part time (up to 39 hours a week),"$25,000 - $49,999"
11/23/2018 16:43,11/23/2018 16:48,IP Address,105.112.98.30,100,330,TRUE,11/23/2018 16:48,R_1Kkeh5gP1EQxURC,,,,,6.335006714,5.627502441,anonymous,EN,"I consent, begin the study",9.966,161.169,163.599,75,,,,,,,,,,,,Won't buy,Won't buy,Won't buy,Buy,Buy,Buy,Buy,Buy,Buy,Won't buy,Buy,Once a week,Significantly less than half,26 - 35 years old,Male,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Employed full time (40 hours or more a week),"$10,000 - $24,999"
11/23/2018 16:51,11/23/2018 16:57,IP Address,41.190.30.161,100,364,TRUE,11/23/2018 16:57,R_3HuVadVKA4VVgzb,,,,,6.453094482,3.395797729,anonymous,EN,"I consent, begin the study",3.294,71.63,72.699,51,,,,,,,,,,,,Won't buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Buy,Buy,Less often,Significantly less than half,26 - 35 years old,Female,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Employed full time (40 hours or more a week),"$1 - $9,999"
11/23/2018 19:19,11/23/2018 19:23,IP Address,68.114.48.216,100,213,TRUE,11/23/2018 19:23,R_1mEtDMIQDMwQpCs,,,,,42.28939819,-71.7888031,anonymous,EN,"I consent, begin the study",69.351,110.958,112.444,12,,,,,,,,,,,,Buy,Buy,Won't buy,Buy,Buy,Won't buy,Buy,Buy,Buy,Buy,Buy,2-3 times a month,Approximately half,18 - 25 years old,Male,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,No income
11/23/2018 19:39,11/23/2018 19:41,IP Address,172.58.233.162,100,147,TRUE,11/23/2018 19:42,R_3ERSAdmaqAlaAtB,,,,,40.72360229,-74.20149994,anonymous,EN,"I consent, begin the study",0.226,25.323,26.301,34,,,,,,,,,,,,Buy,Won't buy,Won't buy,Buy,Buy,Buy,Buy,Buy,Won't buy,Won't buy,Won't buy,Less often,Significantly more than half,26 - 35 years old,Female,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Employed full time (40 hours or more a week),"$50,000 - $74,999"
11/23/2018 19:44,11/23/2018 19:47,IP Address,104.167.182.150,100,149,TRUE,11/23/2018 19:47,R_PFAmNS5zFVpwR1v,,,,,37.75100708,-97.8219986,anonymous,EN,"I consent, begin the study",7.404,54.592,56.723,39,,,,,,,,,,,,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Less often,None,26 - 35 years old,Female,No,Prefer not to answer,"Doctorate (e.g. PhD, EdD)",Employed full time (40 hours or more a week),Prefer not to answer
11/23/2018 20:55,11/23/2018 20:59,IP Address,58.200.235.32,100,259,TRUE,11/23/2018 20:59,R_NV0u0BdhIVWafa9,,,,,39.92880249,116.3888855,anonymous,EN,"I consent, begin the study",9.748,58.3,59.292,44,Won't buy,Buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Buy,Buy,Won't buy,Buy,,,,,,,,,,,,Less often,Approximately half,18 - 25 years old,Male,No,Asian,"Doctorate (e.g. PhD, EdD)",Student,"$10,000 - $24,999"
11/23/2018 21:05,11/23/2018 21:08,IP Address,140.180.242.123,100,146,TRUE,11/23/2018 21:08,R_3CQ8XmmVGJ5vhZ1,,,,,40.36659241,-74.64080048,anonymous,EN,"I consent, begin the study",1.885,39.824,40.809,41,Won't buy,Buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,,,,,,,,,,,,Less often,Significantly more than half,18 - 25 years old,Female,No,Asian,"Doctorate (e.g. PhD, EdD)",Employed full time (40 hours or more a week),"$25,000 - $49,999"
11/23/2018 21:15,11/23/2018 21:18,IP Address,197.229.2.237,100,220,TRUE,11/23/2018 21:18,R_3w5Tw6e9Cy8E45r,,,,,-33.91670227,18.41670227,anonymous,EN,"I consent, begin the study",25.852,69.969,71.824,11,Buy,Buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Buy,Won't buy,Won't buy,Buy,,,,,,,,,,,,Less often,All,Above 55 years old,Female,Yes,White or Caucasian,"Some college, no degree",Retired,"$10,000 - $24,999"
11/23/2018 21:16,11/23/2018 21:19,IP Address,66.199.122.18,100,178,TRUE,11/23/2018 21:19,R_1IaZBJ90OJ1tY3W,,,,,42.05459595,-87.69429779,anonymous,EN,"I consent, begin the study",7.841,63.782,64.612,61,Won't buy,Buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,,,,,,,,,,,,2-3 times a month,Significantly more than half,18 - 25 years old,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,No income
11/23/2018 21:14,11/23/2018 21:19,IP Address,116.49.61.240,100,280,TRUE,11/23/2018 21:19,R_2QfEihAxSPIAhgB,,,,,22.28329468,114.1499939,anonymous,EN,"I consent, begin the study",8.961,55.126,55.964,51,,,,,,,,,,,,Won't buy,Won't buy,Buy,Buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Once a week,Significantly more than half,18 - 25 years old,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Unemployed and currently looking for work,No income
11/23/2018 21:19,11/23/2018 21:22,IP Address,175.159.126.195,100,188,TRUE,11/23/2018 21:22,R_1FwHAUJU4afXwNh,,,,,22.31669617,114.1832886,anonymous,EN,"I consent, begin the study",1.19,63.686,65.16,64,,,,,,,,,,,,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,2-3 times a month,Significantly less than half,18 - 25 years old,Male,No,Asian,"Bachelor's degree (e.g. BA, BS)",Student,"$25,000 - $49,999"
11/23/2018 21:32,11/23/2018 21:37,IP Address,108.188.184.199,100,340,TRUE,11/23/2018 21:37,R_3ikbqJhBcMEE4Tt,,,,,28.39100647,-80.78700256,anonymous,EN,"I consent, begin the study",6.866,137.234,138.167,58,,,,,,,,,,,,Won't buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Less often,Significantly less than half,18 - 25 years old,Female,No,Asian,"Bachelor's degree (e.g. BA, BS)",Student,"$1 - $9,999"
11/23/2018 21:40,11/23/2018 21:41,IP Address,98.111.246.4,100,109,TRUE,11/23/2018 21:41,R_Z4tEflgvcHkpJNT,,,,,40.43080139,-79.92050171,anonymous,EN,"I consent, begin the study",3.774,37.778,38.56,43,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Less often,Significantly less than half,18 - 25 years old,Female,No,Asian,"Bachelor's degree (e.g. BA, BS)",Student,"$1 - $9,999"
11/23/2018 21:08,11/23/2018 22:03,IP Address,45.62.102.147,100,3335,TRUE,11/23/2018 22:03,R_3nD8c0uIIs9okKg,,,,,34.0493927,-118.2640991,anonymous,EN,"I consent, begin the study",2.207,31.134,32.701,12,Won't buy,Buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Buy,,,,,,,,,,,,Once a month,Significantly less than half,18 - 25 years old,Male,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,"$1 - $9,999"
11/23/2018 22:02,11/23/2018 22:04,IP Address,73.15.39.228,100,110,TRUE,11/23/2018 22:04,R_3iF5mvu1KUCV59H,,,,,37.34829712,-121.9844055,anonymous,EN,"I consent, begin the study",1.628,40.002,41.702,37,,,,,,,,,,,,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Buy,Won't buy,Buy,Once a week,Significantly more than half,18 - 25 years old,Male,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Employed full time (40 hours or more a week),"Above $150,000"
11/23/2018 22:04,11/23/2018 22:06,IP Address,99.203.55.152,100,97,TRUE,11/23/2018 22:06,R_6AwLEOj2Qg8uJBD,,,,,40.78160095,-73.95110321,anonymous,EN,"I consent, begin the study",0.829,28.86,29.6,35,Won't buy,Buy,Buy,Buy,Buy,Won't buy,Buy,Buy,Buy,Buy,Buy,,,,,,,,,,,,2-3 times a month,Significantly less than half,18 - 25 years old,Male,No,Asian,"Bachelor's degree (e.g. BA, BS)",Student,"$50,000 - $74,999"
11/23/2018 22:03,11/23/2018 22:06,IP Address,207.237.117.20,100,195,TRUE,11/23/2018 22:06,R_z8MJKZZQkxlIvNT,,,,,40.7651062,-73.9858017,anonymous,EN,"I consent, begin the study",6.879,59.292,60.884,39,Won't buy,Buy,Buy,Buy,Won't buy,Won't buy,Buy,Buy,Buy,Won't buy,Won't buy,,,,,,,,,,,,Less often,Significantly more than half,18 - 25 years old,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,No income
11/23/2018 22:08,11/23/2018 22:11,IP Address,98.111.246.4,100,165,TRUE,11/23/2018 22:11,R_PLCkyiXUx6hIMyR,,,,,40.43080139,-79.92050171,anonymous,EN,"I consent, begin the study",1.5,50.153,50.98,37,,,,,,,,,,,,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Buy,Buy,Buy,Buy,2-3 times a month,Significantly less than half,26 - 35 years old,Male,No,Asian,"Doctorate (e.g. PhD, EdD)",Student,"$10,000 - $24,999"
11/23/2018 22:27,11/23/2018 22:30,IP Address,158.222.154.30,100,171,TRUE,11/23/2018 22:30,R_9YzSokI4xopAqlP,,,,,40.81159973,-73.95500183,anonymous,EN,"I consent, begin the study",4.702,75.653,75.718,57,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Buy,Won't buy,Buy,Won't buy,,,,,,,,,,,,Less often,Approximately half,18 - 25 years old,Female,No,Asian,"Bachelor's degree (e.g. BA, BS)",Employed part time (up to 39 hours a week),"$10,000 - $24,999"
11/23/2018 22:35,11/23/2018 22:37,IP Address,65.112.138.226,100,145,TRUE,11/23/2018 22:37,R_32UTCeazreP0zeH,,,,,28.63439941,-81.62210083,anonymous,EN,"I consent, begin the study",0.543,58.689,59.514,48,,,,,,,,,,,,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Once a week,Approximately half,18 - 25 years old,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,No income
11/23/2018 22:38,11/23/2018 22:42,IP Address,99.42.46.81,100,206,TRUE,11/23/2018 22:42,R_2rr8DwLFtlWV4zw,,,,,29.82989502,-95.37689972,anonymous,EN,"I consent, begin the study",2.044,53.757,54.48,48,,,,,,,,,,,,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,2-3 times a month,None,26 - 35 years old,Female,Yes,White or Caucasian,"Bachelor's degree (e.g. BA, BS)",Student,"$10,000 - $24,999"
11/23/2018 22:41,11/23/2018 22:44,IP Address,107.150.98.219,100,133,TRUE,11/23/2018 22:44,R_2asK7gbwmoYdQZI,,,,,34.07290649,-118.2606049,anonymous,EN,"I consent, begin the study",0.327,38.601,39.614,39,,,,,,,,,,,,Buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Buy,Buy,Won't buy,Buy,Less often,Significantly less than half,18 - 25 years old,Male,No,Asian,"Bachelor's degree (e.g. BA, BS)",Student,"$1 - $9,999"
11/23/2018 22:46,11/23/2018 22:49,IP Address,67.171.68.21,100,191,TRUE,11/23/2018 22:49,R_3KvGhYPGMtexBP0,,,,,40.44400024,-79.9552002,anonymous,EN,"I consent, begin the study",6.016,115.927,118.047,131,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,,,,,,,,,,,,Less often,Approximately half,18 - 25 years old,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,No income
11/23/2018 22:48,11/23/2018 22:54,IP Address,23.242.138.63,100,378,TRUE,11/23/2018 22:54,R_1IsbmgKiJ0IxrAr,,,,,34.06599426,-118.473999,anonymous,EN,"I consent, begin the study",8.486,155.257,156.304,44,,,,,,,,,,,,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,2-3 times a month,Significantly less than half,18 - 25 years old,Female,No,Asian,"Bachelor's degree (e.g. BA, BS)",Unemployed and currently looking for work,"$100,000 - $149,999"
11/23/2018 23:04,11/23/2018 23:07,IP Address,60.127.13.248,100,126,TRUE,11/23/2018 23:07,R_25vfxUpf8xVbrft,,,,,35.74339294,139.6836853,anonymous,EN,"I consent, begin the study",4.358,56.309,57.857,100,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Less often,Significantly less than half,18 - 25 years old,Male,No,Asian,"Bachelor's degree (e.g. BA, BS)",Student,"$1 - $9,999"
11/23/2018 23:54,11/23/2018 23:56,IP Address,128.12.245.4,100,128,TRUE,11/23/2018 23:56,R_33cZ512Wf3jx8je,,,,,37.42359924,-122.1618958,anonymous,EN,"I consent, begin the study",7.705,42.226,43.171,43,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Once a month,Significantly less than half,18 - 25 years old,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,No income
11/23/2018 15:47,11/24/2018 0:16,IP Address,41.58.249.23,100,30496,TRUE,11/24/2018 0:16,R_BQgJzKd0Lym5v4R,,,,,6.453094482,3.395797729,anonymous,EN,"I consent, begin the study",17.947,58.908,59.707,38,,,,,,,,,,,,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Won't buy,Won't buy,Buy,Won't buy,2-3 times a week,Significantly less than half,26 - 35 years old,Male,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Employed full time (40 hours or more a week),"$10,000 - $24,999"
11/24/2018 1:15,11/24/2018 1:18,IP Address,148.252.129.186,100,166,TRUE,11/24/2018 1:18,R_1mVPBTFeSEYUlBa,,,,,51.49639893,-0.122406006,anonymous,EN,"I consent, begin the study",4.147,62.184,63.15,42,,,,,,,,,,,,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Less often,All,26 - 35 years old,Female,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Student,"$25,000 - $49,999"
11/24/2018 2:57,11/24/2018 3:00,IP Address,5.71.163.96,100,151,TRUE,11/24/2018 3:00,R_3KBDaXLkcgfXpEY,,,,,51.26249695,-1.087097168,anonymous,EN,"I consent, begin the study",11.742,60.318,61.313,37,,,,,,,,,,,,Won't buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Less often,None,26 - 35 years old,Male,No,Black or African American,"Bachelor's degree (e.g. BA, BS)",Employed full time (40 hours or more a week),"$25,000 - $49,999"
11/24/2018 3:59,11/24/2018 4:02,IP Address,173.33.36.198,100,147,TRUE,11/24/2018 4:02,R_1FA6uodXgrkbfaY,,,,,43.56370544,-79.72019958,anonymous,EN,"I consent, begin the study",3.344,33.204,34.136,42,Won't buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Less often,None,36 - 45 years old,Male,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Employed full time (40 hours or more a week),"$50,000 - $74,999"
11/24/2018 5:13,11/24/2018 5:15,IP Address,67.171.68.21,100,113,TRUE,11/24/2018 5:15,R_0VTQ17o57FQagFz,,,,,40.44400024,-79.9552002,anonymous,EN,"I consent, begin the study",8.505,43.075,44.065,51,,,,,,,,,,,,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Buy,Won't buy,2-3 times a month,Approximately half,18 - 25 years old,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,No income
11/24/2018 5:11,11/24/2018 5:24,IP Address,90.199.223.248,100,782,TRUE,11/24/2018 5:24,R_2qqJ2KdhBaxYPwR,,,,,51.51609802,-0.094894409,anonymous,EN,"I consent, begin the study",4.045,47.209,53.458,12,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Less often,Significantly more than half,18 - 25 years old,Male,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Employed full time (40 hours or more a week),"$25,000 - $49,999"
11/24/2018 6:59,11/24/2018 7:01,IP Address,99.243.188.5,100,131,TRUE,11/24/2018 7:01,R_2P1qMoD4VnDcWHX,,,,,43.01469421,-81.30490112,anonymous,EN,"I consent, begin the study",14.993,48.857,50.36,55,,,,,,,,,,,,Won't buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Once a month,None,18 - 25 years old,Female,No,Asian,"Master's degree (e.g. MA, MS, MEd)",Student,No income
11/24/2018 13:23,11/24/2018 13:26,IP Address,41.190.30.15,100,169,TRUE,11/24/2018 13:26,R_1gjd0mxadV4OxjU,,,,,6.453094482,3.395797729,anonymous,EN,"I consent, begin the study",8.621,55.714,57.091,36,,,,,,,,,,,,Won't buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,2-3 times a month,None,26 - 35 years old,Female,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Employed part time (up to 39 hours a week),"$1 - $9,999"
11/24/2018 15:08,11/24/2018 15:13,IP Address,76.90.168.37,100,256,TRUE,11/24/2018 15:13,R_22Y8vIVFHjKfKyB,,,,,34.39849854,-118.5534973,anonymous,EN,"I consent, begin the study",7.187,83.65,86.008,46,Won't buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,Buy,Won't buy,Buy,Won't buy,,,,,,,,,,,,Less often,Significantly more than half,18 - 25 years old,Female,No,Asian,"Bachelor's degree (e.g. BA, BS)",Self-employed,"$1 - $9,999"
11/24/2018 17:30,11/24/2018 17:32,IP Address,172.58.201.216,100,114,TRUE,11/24/2018 17:32,R_2V3akD5WKYiv40w,,,,,39.9447937,-75.22879791,anonymous,EN,"I consent, begin the study",15.156,47.301,48.393,36,Won't buy,Buy,Buy,Buy,Won't buy,Won't buy,Buy,Buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Once a month,Significantly less than half,26 - 35 years old,Female,No,Black or African American,"Doctorate (e.g. PhD, EdD)",Student,"$10,000 - $24,999"
11/24/2018 18:35,11/24/2018 18:38,IP Address,65.196.126.174,100,140,TRUE,11/24/2018 18:38,R_A0rpm3Sf02HKOl3,,,,,40.5,-80.19960022,anonymous,EN,"I consent, begin the study",2.553,51.247,52.555,35,Won't buy,Won't buy,Buy,Buy,Buy,Buy,Won't buy,Won't buy,Won't buy,Won't buy,Won't buy,,,,,,,,,,,,Less often,Significantly more than half,18 - 25 years old,Female,No,Black or African American,"Master's degree (e.g. MA, MS, MEd)",Student,No income
